Category_Fine,Assigned_Rows,Pct_Dataset,High_Conf_Count,Med_Conf_Count,Low_Conf_Count,Tier1_Verified_Count,Tier3_Candidate_Count,Total_Attributes_Populated,Unresolved_Conflicts,Representative_MPNs
Deck Boards,138,13.8%,0,0,138,138,0,260,0,"543340126, 543340127"
Cordless Power Tools,59,5.9%,0,52,7,59,0,138,0,"XLC10ZW, DCLE34520GB"
Cut-Off Discs,35,3.5%,0,33,2,35,0,162,0,"DBD090094101F, DBDS12125A01F"
Fascia Boards,26,2.6%,0,0,26,26,0,78,0,"ADR5117512CS, ADR5117512MH"
Railing Kits,20,2.0%,0,0,20,20,0,38,0,"543302126, 543302146"
Batteries & Chargers,14,1.4%,0,10,4,14,0,18,0,"402-R, BM-DW20-YLW-6"
Saw Blades,14,1.4%,0,13,1,14,0,39,2,"VN56920, D0860X"
Power Fastening Tools,12,1.2%,0,11,1,12,0,36,0,"2909-20, 2909-21"
Bits,9,0.9%,0,5,4,9,0,9,0,"55227, 6008"
Grinding Wheels,7,0.7%,0,7,0,7,0,31,0,"49-94-0501, 49-94-0503"
Benchtop & Stationary Power Tools,7,0.7%,0,0,7,7,0,5,0,"TP-1935, 58006"
Sanding Discs,6,0.6%,0,0,6,6,0,22,0,"3MABR-7100075678, 3MABR-7100045865"
Post Sleeves & Accessories,5,0.5%,0,0,5,5,0,5,0,"73018076, 73018731"
Cut & Grind Discs,3,0.3%,0,3,0,3,0,14,0,"49-94-0803, 49-94-0903"
Power Tool Accessories,3,0.3%,0,0,3,3,0,0,0,"DW7029, TS1017"
Staples,2,0.2%,0,0,2,2,0,6,0,"d10cnk, e28cnkha"
Files & Rasps,2,0.2%,0,0,2,2,0,1,0,"21839NN, DCM200B"
Sanding Belts,1,0.1%,0,1,0,1,0,5,0,DCB518ASTS06G
Sanding Sponges,1,0.1%,0,1,0,1,0,3,0,DFBLBLOMFN01G
Nails & Pins,1,0.1%,0,0,1,1,0,3,0,603150
Gate Hardware,1,0.1%,0,0,1,1,0,1,0,73002252
