Mfg_Part_Num,Fine,Taxonomy_Confidence,Manufacturer_Confidence,Brand_Confidence,Supplier_vs_Manufacturer_Flag,Num_Attributes_Candidate,Num_Attributes_Fused,Num_Conflicts,Overall_Confidence,Overall_Confidence_Band,Needs_Review,Review_Reasons,Validation_Issues,Live_Evidence_Sources
DCB518ASTS06G,Sanding Belts,HIGH,HIGH,HIGH,False,3,5,0,0.546,MEDIUM,Yes,"evidence: GENUINE CONFLICT, not simulated: the official diablotools.com marketing copy and the mccoys.com body text both say 'premium aluminum oxide blend', but the same mccoys.com listing TITLE and the Amazon listing both say 'Zirconium' abrasive. Two disagreeing values from sources of similar authority -- routed to CONFLICT status rather than picked arbitrarily.",,3
3MABR-7100075678,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,5,0,0.478,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | evidence: This MPN as written (with the '3MABR-' internal prefix) is Unilog's internal SKU, not 3M's own part number -- it did not appear verbatim in any external source. Evidence below is matched on the product identity (3M Cubitron II Stikit Film Disc 775L, P150 grit) rather than the exact internal MPN string, and is scored down accordingly.",,1
3MABR-7100045865,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,5,0,0.478,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | evidence: Same product family as 3MABR-7100075678 (775L Stikit Cubitron II), different grit (P120). Evidence reused from the same official 3M page; same internal-MPN caveat applies.",,1
3MABR-7100048736,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,3,0,0.43,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | evidence: Same product family, P80 grit. No separate search run (would be identical evidence to the two siblings above) -- in a full production run this would be deduplicated by product-family key, not re-fetched. Marked UNVERIFIED here to be honest that THIS specific row wasn't independently confirmed in this session. | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
3MABR-7100075690,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,3,0,0.43,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
3MABR-7100075692,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,3,0,0.43,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
3MABR-7100145365,Sanding Discs,HIGH,MEDIUM,MEDIUM,True,3,3,0,0.43,LOW,Yes,"Part_Manuf ('Jam Industrial Supply LLC (JAMIN)') resolved as SUPPLIER/DISTRIBUTOR, not manufacturer -- true manufacturer inferred from brand token '3M®' in Part_Desc | extraction: no dimension pattern matched | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
5B-332-080,,UNRESOLVED,LOW,LOW,True,2,2,0,0.115,LOW,Yes,"'Mirka Abrasives Inc (MIRUS)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
5B-332-120,,UNRESOLVED,LOW,LOW,True,2,2,0,0.115,LOW,Yes,"'Mirka Abrasives Inc (MIRUS)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
9A-570-240,,UNRESOLVED,LOW,LOW,True,2,2,0,0.09,LOW,Yes,"'Mirka Abrasives Inc (MIRUS)' not found in entity master | taxonomy: no rule matched, classification UNRESOLVED | extraction: dimension chain length has no schema mapping for '' | extraction: dimension chain length has no schema mapping for '' | extraction: item type not confidently identified | no live manufacturer-source evidence gathered for this row in this run -- attributes remain UNVERIFIED (regex/candidate layer only)",,0
