row_index,MPN,Part_Desc,Part_Manuf,E1_Brand,Unilog_Brand,DIB_Brand,current_classpath,exact_product_identified,evidence_found,evidence_type,evidence_url,evidence_summary,taxonomy_supported,proposed_classpath,recovery_decision,confidence,rejection_reason
584,DCL183,Dewalt DCL183 Light - Rechargeable,Black & Decker/dewlt (2585),-- Unbranded --,-- No Unilog Brand --,DEWALT,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies lighting fixture or work light,YES,Lighting & Ceiling Fans>Light Fixtures>Lighting Fixtures,RECOVER,HIGH,NONE
612,R20-05378-P00,R2005378P00 6-50R Welder Outet,Leviton Mfg Co (4927),-- Unbranded --,-- No Unilog Brand --,Leviton,UNRESOLVED,YES,YES,DATASET_TEXT,,"Description explicitly specifies electrical wallplate, outlet, or wire/cable",YES,Electrical>Wiring & Boxes>Electrical Wiring & Boxes,RECOVER,HIGH,NONE
613,WC1V12W-SG-UPC,WC1V12WSGUPC 1G Cover Wh,Southwire/g Turner (6603),-- Unbranded --,-- No Unilog Brand --,Southwire,UNRESOLVED,YES,YES,DATASET_TEXT,,"Description explicitly specifies electrical wallplate, outlet, or wire/cable",YES,Electrical>Wiring & Boxes>Electrical Wiring & Boxes,RECOVER,HIGH,NONE
618,R50-0SL13-000,T50-0SL13000 1G Wallplate SS - Blank,Leviton Mfg Co (4927),-- Unbranded --,-- No Unilog Brand --,Leviton,UNRESOLVED,YES,YES,DATASET_TEXT,,"Description explicitly specifies electrical wallplate, outlet, or wire/cable",YES,Electrical>Wiring & Boxes>Electrical Wiring & Boxes,RECOVER,HIGH,NONE
619,R52-0PJ13-00W,R520PJ1300W 1G Wallplate Wh - Blank,Leviton Mfg Co (4927),-- Unbranded --,-- No Unilog Brand --,Leviton,UNRESOLVED,YES,YES,DATASET_TEXT,,"Description explicitly specifies electrical wallplate, outlet, or wire/cable",YES,Electrical>Wiring & Boxes>Electrical Wiring & Boxes,RECOVER,HIGH,NONE
623,C7CDAAS3PD3,C7CDAAS3PD3 Café Drip Coffee Maker MB,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
624,C7CDAAS4PW3,C7CDAAS4PW3 Café Drip Coffee Maker MW,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
625,C7CDABS2RS3,C7CDABS2RS3 Cafe Coffee Maker,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
626,C7CDABS3RD3,C7CDABS3RD3 Café Coffee Maker MB,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
627,C7CDABS4RW3,C7CDABS4RW3 Café Coffee Maker MW,Appliance Dealers Cooperative (APPDE),-- Unbranded --,-- No Unilog Brand --,-- No DIB Brand --,UNRESOLVED,YES,YES,DATASET_TEXT,,Description explicitly specifies coffee maker or espresso machine,YES,Appliances>Major Appliances>Cooking Appliances,RECOVER,HIGH,NONE
