Mfg_Part_Num,Part_Manuf,Part_Desc,Actionability_Category,Primary_Reason
5B-332-080,Mirka Abrasives Inc (MIRUS),"5B-332-080 HIOLIT 5"" P80",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
5B-332-120,Mirka Abrasives Inc (MIRUS),"5B-332-120 HIOLIT 5"" P120",Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
9A-570-240,Mirka Abrasives Inc (MIRUS),9A-570-240 Abranet 2.75x30,Genuinely_Ambiguous,"Cryptic short description without brand, manufacturer, or product type context"
9A-570-320,Mirka Abrasives Inc (MIRUS),9A-570-320 Abranet 2.75x30,Genuinely_Ambiguous,"Cryptic short description without brand, manufacturer, or product type context"
49-94-0907,Milwaukee Accessory (4031),"49-94-0907 Milw 4-1/2""x1/8""x5/8-11""Perform+Dual Metal Cut n Grind Disc",Requires_Manufacturer_Web_Evidence,Specialty accessory requiring live manufacturer specification page retrieval
1700-1PK-BB40,3 M Co (5293),3/4x60' Vinyl Elect Tape,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
ASH-40-40-04,Emseal Joint Systems Ltd (EMSJO),1.5x1.5x13' Legacy Emseal Tape,Resolvable_From_Raw_Text,Contains descriptive text tokens suitable for deterministic rule matching if taxonomy is expanded
KDFM404KPS,Appliance Dealers Cooperative (APPDE),KDFM404KPS Dishwasher SS,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PDSH4816AF,Appliance Dealers Cooperative (APPDE),PDSH4816AF Dishwasher SS - Display Only,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PDT715SYVFS,Appliance Dealers Cooperative (APPDE),PDT715SYVFS Ge Dishwasher SS,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
LDPH5554D,Appliance Dealers Cooperative (APPDE),LDPH5554D LG Dishwasher BSS,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
WDTS7024RZ,Appliance Dealers Cooperative (APPDE),WDTS7024RZ Dishwasher SS - Display Only,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
PDD415PYYFS,Appliance Dealers Cooperative (APPDE),PDD415PYYFS GE Dishwasher SS,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
KDTS424SBE,Appliance Dealers Cooperative (APPDE),KDTS424SBE Kitchen Aid Dishwasher Bk,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
KDTS324SPS,Appliance Dealers Cooperative (APPDE),KDTS324SPS Kitchen Aid Dishwasher SS,Requires_Authoritative_Taxonomy_LOV,"Belongs to Lighting, Appliance, PPE, or Wiring taxonomy branch not present in current 21-category schema"
